study_ID,quantitative_synthesis
56_w,excluded (<5 articles)
56_x,excluded (<5 articles)
56_y,included (10 articles)
56_z,included (10 articles)
56_aa,included (10 articles)
56_ab,included (10 articles)
56_ac,included (10 articles)
56_ad,included (10 articles)
56_ae,included (10 articles)
56_af,included (10 articles)
56_ag,included (10 articles)
56_ah,included (10 articles)
56_ai,included (10 articles)
56_aj,included (10 articles)
56_ak,included (10 articles)
56_al,included (10 articles)
56_am,included (10 articles)
56_an,included (10 articles)
56_ao,included (10 articles)
56_ap,included (10 articles)
56_aq,included (10 articles)
56_ar,included (10 articles)
56_as,included (10 articles)
56_at,included (10 articles)
56_au,included (10 articles)
56_av,included (10 articles)
56_aw,included (10 articles)
56_ax,included (10 articles)
56_ay,included (10 articles)
56_az,included (10 articles)
56_ba,included (10 articles)
56_bb,included (10 articles)
56_bc,included (10 articles)
56_bd,included (10 articles)
56_be,included (10 articles)
56_bf,included (10 articles)
56_bg,included (10 articles)
56_bh,included (10 articles)
56_bi,included (10 articles)
56_bj,included (10 articles)
56_bk,included (10 articles)
56_bl,included (10 articles)
56_bm,included (10 articles)
56_bn,included (10 articles)
56_bo,included (10 articles)
56_bp,included (10 articles)
56_bq,included (10 articles)
56_br,included (10 articles)
56_bs,included (10 articles)
56_bt,included (10 articles)
61_as,included (10 articles)
69_a,included (10 articles)
69_b,included (10 articles)
69_c,included (10 articles)
75_a,included (5 articles)
75_b,included (5 articles)
75_c,included (5 articles)
75_d,included (5 articles)
75_e,included (5 articles)
75_f,included (5 articles)
75_g,not possible to estimate effect size
75_h,not possible to estimate effect size
75_i,not possible to estimate effect size
75_j,not possible to estimate effect size
75_k,not possible to estimate effect size
75_l,not possible to estimate effect size
77_d,included (10 articles)
77_e,included (10 articles)
77_f,included (10 articles)
77_g,included (10 articles)
77_h,included (10 articles)
77_i,included (10 articles)
77_j,not possible to estimate effect size
77_k,not possible to estimate effect size
77_l,not possible to estimate effect size
77_m,included (10 articles)
77_n,included (10 articles)
77_o,included (10 articles)
77_p,included (10 articles)
77_q,included (10 articles)
77_r,included (10 articles)
77_s,included (10 articles)
77_t,included (10 articles)
77_u,included (10 articles)
77_v,not possible to estimate effect size
77_w,not possible to estimate effect size
77_x,not possible to estimate effect size
77_y,not possible to estimate effect size
77_z,not possible to estimate effect size
77_aa,not possible to estimate effect size
77_ab,included (10 articles)
77_ac,included (10 articles)
77_ad,included (10 articles)
77_ae,not possible to estimate effect size
77_af,not possible to estimate effect size
77_ag,not possible to estimate effect size
77_ah,not possible to estimate effect size
77_ai,not possible to estimate effect size
77_aj,not possible to estimate effect size
77_an,included (10 articles)
77_ao,included (10 articles)
77_ap,included (10 articles)
77_aq,included (10 articles)
77_ar,included (10 articles)
77_as,included (10 articles)
77_at,included (10 articles)
77_au,included (10 articles)
77_av,included (10 articles)
77_aw,not possible to estimate effect size
77_ax,not possible to estimate effect size
77_ay,not possible to estimate effect size
77_az,included (10 articles)
77_ba,included (10 articles)
77_bb,included (10 articles)
77_bc,included (10 articles)
77_bd,included (10 articles)
77_be,included (10 articles)
77_bf,included (10 articles)
77_bg,included (10 articles)
77_bh,included (10 articles)
77_bj,included (10 articles)
77_bk,included (10 articles)
77_bl,included (10 articles)
77_bm,included (10 articles)
77_bn,included (10 articles)
77_bo,not possible to estimate effect size
77_bp,not possible to estimate effect size
77_bq,not possible to estimate effect size
77_br,included (10 articles)
77_bs,included (10 articles)
77_bt,included (10 articles)
77_bx,included (10 articles)
77_by,included (10 articles)
77_bz,included (10 articles)
77_ca,included (10 articles)
77_cb,included (10 articles)
77_cc,included (10 articles)
77_cd,included (10 articles)
77_ce,included (10 articles)
77_cf,included (10 articles)
77_cj,included (10 articles)
77_ck,included (10 articles)
77_cl,included (10 articles)
77_cm,included (10 articles)
77_cn,included (10 articles)
77_co,included (10 articles)
77_cp,included (10 articles)
77_cq,included (10 articles)
77_cr,included (10 articles)
77_cs,included (10 articles)
77_ct,included (10 articles)
77_cu,included (10 articles)
77_cv,included (10 articles)
77_cw,included (10 articles)
77_cx,included (10 articles)
77_cy,included (10 articles)
77_cz,included (10 articles)
77_da,included (10 articles)
77_db,included (10 articles)
77_dc,included (10 articles)
77_dd,included (10 articles)
77_de,included (10 articles)
77_df,included (10 articles)
77_dg,included (10 articles)
77_dh,included (10 articles)
77_di,included (10 articles)
77_dj,included (10 articles)
77_dk,included (10 articles)
77_dl,included (10 articles)
77_dm,included (10 articles)
77_dn,included (10 articles)
77_do,included (10 articles)
77_dp,included (10 articles)
77_dq,included (10 articles)
77_dr,included (10 articles)
77_ds,included (10 articles)
77_dt,included (10 articles)
77_du,included (10 articles)
77_dv,included (10 articles)
77_dw,included (10 articles)
77_dx,included (10 articles)
77_dy,included (10 articles)
77_dz,included (10 articles)
77_ea,included (10 articles)
77_eb,included (10 articles)
78_a,included (10 articles)
78_b,included (10 articles)
78_c,included (10 articles)
78_d,included (10 articles)
78_g,included (10 articles)
78_h,included (10 articles)
78_i,included (10 articles)
79_a,included (10 articles)
79_b,included (10 articles)
79_c,included (10 articles)
79_d,included (10 articles)
79_e,included (10 articles)
79_f,included (10 articles)
79_g,included (10 articles)
79_h,included (10 articles)
79_i,included (10 articles)
79_j,included (10 articles)
79_k,included (10 articles)
79_l,included (10 articles)
79_m,included (10 articles)
79_n,included (10 articles)
79_o,excluded (<5 articles)
79_q,included (10 articles)
90_a,included (10 articles)
90_b,included (10 articles)
90_c,included (10 articles)
90_f,included (10 articles)
90_g,included (10 articles)
90_h,included (10 articles)
90_i,included (10 articles)
90_j,included (10 articles)
90_k,included (10 articles)
90_n,included (10 articles)
90_o,included (10 articles)
90_p,included (10 articles)
90_q,included (10 articles)
90_r,included (10 articles)
90_s,included (10 articles)
90_v,included (10 articles)
90_w,included (10 articles)
90_x,included (10 articles)
90_y,included (10 articles)
90_z,included (5 articles)
90_aa,included (10 articles)
90_ab,included (5 articles)
90_ac,included (10 articles)
90_ad,included (5 articles)
94_a,excluded (<5 articles)
94_b,excluded (<5 articles)
94_c,excluded (<5 articles)
94_d,excluded (<5 articles)
94_e,excluded (<5 articles)
94_f,not possible to estimate effect size
94_g,included (10 articles)
94_h,included (10 articles)
94_i,included (10 articles)
94_j,excluded (<5 articles)
94_k,excluded (<5 articles)
94_l,excluded (<5 articles)
94_m,excluded (<5 articles)
94_n,excluded (<5 articles)
94_o,excluded (<5 articles)
94_p,included (10 articles)
94_q,included (10 articles)
94_r,included (10 articles)
94_s,excluded (<5 articles)
94_t,excluded (<5 articles)
94_u,excluded (<5 articles)
94_v,excluded (<5 articles)
94_w,excluded (<5 articles)
94_x,excluded (<5 articles)
94_y,included (10 articles)
94_z,included (10 articles)
94_aa,included (10 articles)
100_a,included (10 articles)
100_b,included (5 articles)
100_d,included (10 articles)
100_f,included (10 articles)
100_g,included (5 articles)
100_h,included (10 articles)
100_i,included (10 articles)
100_j,included (10 articles)
100_k,included (10 articles)
100_l,included (10 articles)
100_m,included (5 articles)
100_o,included (10 articles)
100_q,included (10 articles)
100_r,included (5 articles)
100_s,included (10 articles)
100_t,included (10 articles)
100_u,included (10 articles)
100_v,included (10 articles)
100_w,included (5 articles)
100_x,included (5 articles)
105_a,excluded (<5 articles)
105_b,included (5 articles)
105_c,included (5 articles)
105_d,included (10 articles)
110_a,excluded (<5 articles)
110_b,excluded (<5 articles)
110_c,excluded (<5 articles)
110_d,excluded (<5 articles)
110_e,excluded (<5 articles)
110_f,excluded (<5 articles)
119_a,included (5 articles)
119_b,included (5 articles)
119_c,included (5 articles)
119_d,included (5 articles)
119_e,included (5 articles)
119_f,included (5 articles)
119_g,included (5 articles)
119_h,included (5 articles)
119_i,included (5 articles)
119_j,excluded (<5 articles)
119_k,excluded (<5 articles)
119_l,excluded (<5 articles)
119_m,excluded (<5 articles)
119_n,excluded (<5 articles)
119_o,excluded (<5 articles)
119_p,excluded (<5 articles)
119_q,excluded (<5 articles)
119_r,excluded (<5 articles)
119_s,excluded (<5 articles)
119_t,excluded (<5 articles)
119_u,excluded (<5 articles)
119_v,excluded (<5 articles)
119_w,excluded (<5 articles)
119_x,excluded (<5 articles)
119_y,excluded (<5 articles)
119_z,excluded (<5 articles)
119_aa,excluded (<5 articles)
119_ab,included (5 articles)
119_ac,included (5 articles)
119_ad,included (5 articles)
119_ae,included (5 articles)
119_af,included (5 articles)
119_ag,included (5 articles)
119_ah,included (5 articles)
119_ai,included (5 articles)
119_aj,included (5 articles)
126_a,included (10 articles)
126_b,included (10 articles)
126_c,included (10 articles)
126_d,included (10 articles)
126_e,included (10 articles)
126_f,included (10 articles)
126_g,excluded (<5 articles)
126_h,excluded (<5 articles)
127_a,included (10 articles)
127_b,included (10 articles)
127_c,included (10 articles)
127_d,included (10 articles)
127_e,included (10 articles)
127_f,included (10 articles)
127_g,included (10 articles)
127_h,included (10 articles)
127_i,included (10 articles)
127_j,included (10 articles)
127_k,included (10 articles)
127_l,included (10 articles)
127_m,included (10 articles)
127_n,included (10 articles)
127_o,included (10 articles)
127_p,included (5 articles)
135_y,included (10 articles)
135_z,included (10 articles)
135_aa,included (10 articles)
135_ab,included (10 articles)
135_ac,included (10 articles)
135_ad,included (10 articles)
135_ae,included (10 articles)
135_af,included (10 articles)
135_ag,included (10 articles)
135_ah,included (10 articles)
135_ai,included (10 articles)
135_aj,included (10 articles)
143_a,included (10 articles)
152_a,included (10 articles)
152_b,included (10 articles)
152_c,excluded (<5 articles)
152_d,included (10 articles)
152_e,excluded (<5 articles)
152_f,excluded (<5 articles)
152_g,excluded (<5 articles)
157_a,not possible to estimate effect size
157_b,not possible to estimate effect size
157_c,not possible to estimate effect size
157_d,not possible to estimate effect size
157_e,not possible to estimate effect size
157_f,not possible to estimate effect size
157_g,not possible to estimate effect size
157_h,not possible to estimate effect size
157_i,not possible to estimate effect size
157_j,not possible to estimate effect size
157_k,not possible to estimate effect size
157_l,not possible to estimate effect size
157_m,not possible to estimate effect size
157_n,not possible to estimate effect size
157_o,not possible to estimate effect size
157_p,not possible to estimate effect size
157_aj,not possible to estimate effect size
157_q,not possible to estimate effect size
157_r,not possible to estimate effect size
157_s,not possible to estimate effect size
157_t,not possible to estimate effect size
157_u,not possible to estimate effect size
157_v,not possible to estimate effect size
157_x,not possible to estimate effect size
157_y,not possible to estimate effect size
157_z,not possible to estimate effect size
157_aa,not possible to estimate effect size
157_ab,not possible to estimate effect size
157_ac,not possible to estimate effect size
157_ad,not possible to estimate effect size
157_ae,not possible to estimate effect size
157_af,not possible to estimate effect size
157_ag,not possible to estimate effect size
157_ah,not possible to estimate effect size
157_ai,not possible to estimate effect size
158_a,excluded (<5 articles)
158_b,excluded (<5 articles)
158_c,included (10 articles)
158_d,included (10 articles)
158_e,included (10 articles)
158_f,included (10 articles)
169_a,excluded (<5 articles)
169_c,included (5 articles)
169_d,included (5 articles)
169_e,included (5 articles)
169_f,included (5 articles)
169_g,included (5 articles)
169_h,included (5 articles)
170_a,excluded (<5 articles)
170_b,excluded (<5 articles)
170_c,excluded (<5 articles)
170_d,excluded (<5 articles)
170_e,excluded (<5 articles)
170_f,excluded (<5 articles)
170_g,excluded (<5 articles)
170_h,excluded (<5 articles)
170_i,excluded (<5 articles)
170_j,excluded (<5 articles)
170_k,excluded (<5 articles)
170_l,excluded (<5 articles)
170_m,excluded (<5 articles)
170_n,excluded (<5 articles)
170_o,excluded (<5 articles)
170_p,included (10 articles)
170_q,included (10 articles)
170_r,included (10 articles)
170_s,included (10 articles)
170_t,included (10 articles)
170_u,included (10 articles)
170_v,included (10 articles)
170_w,included (10 articles)
170_x,included (5 articles)
170_y,included (5 articles)
170_z,included (5 articles)
170_aa,included (5 articles)
170_ab,included (5 articles)
170_ac,included (5 articles)
170_ad,included (5 articles)
170_ae,included (5 articles)
170_af,excluded (<5 articles)
170_ag,excluded (<5 articles)
170_ah,excluded (<5 articles)
170_ai,excluded (<5 articles)
170_aj,excluded (<5 articles)
170_ak,excluded (<5 articles)
170_al,excluded (<5 articles)
170_am,excluded (<5 articles)
170_an,included (5 articles)
170_ao,included (5 articles)
170_ap,included (5 articles)
170_aq,included (5 articles)
170_ar,included (5 articles)
170_as,included (5 articles)
170_at,included (5 articles)
170_au,included (5 articles)
170_av,included (5 articles)
170_aw,included (5 articles)
170_ax,included (5 articles)
170_ay,included (5 articles)
170_az,excluded (<5 articles)
170_aaa,excluded (<5 articles)
170_aab,excluded (<5 articles)
170_aac,excluded (<5 articles)
170_aad,excluded (<5 articles)
170_aae,excluded (<5 articles)
170_aaf,excluded (<5 articles)
170_aag,excluded (<5 articles)
170_aah,excluded (<5 articles)
170_aai,excluded (<5 articles)
170_aaj,excluded (<5 articles)
170_aak,excluded (<5 articles)
170_aal,included (10 articles)
170_aam,included (10 articles)
170_aan,included (10 articles)
170_aao,included (10 articles)
170_aap,included (5 articles)
170_aaq,included (5 articles)
170_aar,included (5 articles)
170_aas,included (5 articles)
170_aat,included (10 articles)
170_aau,included (10 articles)
170_aav,included (10 articles)
170_aaw,included (10 articles)
172_a,included (10 articles)
172_b,included (10 articles)
172_c,included (5 articles)
172_d,included (5 articles)
172_e,included (10 articles)
172_f,included (10 articles)
172_g,excluded (<5 articles)
172_h,excluded (<5 articles)
172_i,excluded (<5 articles)
172_j,excluded (<5 articles)
172_k,included (5 articles)
172_l,included (5 articles)
172_m,included (5 articles)
172_n,included (5 articles)
172_o,excluded (<5 articles)
172_p,excluded (<5 articles)
172_q,not possible to estimate effect size
172_r,not possible to estimate effect size
172_s,not possible to estimate effect size
172_t,not possible to estimate effect size
172_u,included (10 articles)
172_v,included (10 articles)
172_w,excluded (<5 articles)
172_x,excluded (<5 articles)
175_a,included (10 articles)
175_b,included (10 articles)
175_c,included (10 articles)
175_d,included (10 articles)
175_e,included (10 articles)
175_f,included (5 articles)
175_g,included (5 articles)
175_h,included (5 articles)
175_i,included (10 articles)
175_j,not possible to estimate effect size
175_k,excluded (<5 articles)
175_l,excluded (<5 articles)
175_m,excluded (<5 articles)
175_n,included (5 articles)
176_a,no diversity contrast
176_b,included (10 articles)
176_c,included (10 articles)
176_d,no diversity contrast
176_e,included (10 articles)
176_f,included (10 articles)
176_g,no diversity contrast
176_h,included (10 articles)
176_i,included (10 articles)
176_j,no diversity contrast
176_k,included (10 articles)
176_l,included (10 articles)
176_m,included (10 articles)
176_n,included (10 articles)
176_o,included (10 articles)
176_p,no diversity contrast
176_q,included (10 articles)
176_r,included (10 articles)
176_s,included (10 articles)
176_t,included (10 articles)
176_u,included (10 articles)
176_v,no diversity contrast
176_w,included (10 articles)
176_x,included (10 articles)
176_y,included (10 articles)
176_z,included (10 articles)
176_aa,included (10 articles)
176_ab,no diversity contrast
176_ac,included (10 articles)
176_ad,included (10 articles)
176_ae,included (10 articles)
176_af,included (10 articles)
176_ag,included (10 articles)
183_a,included (10 articles)
183_f,included (10 articles)
183_k,included (10 articles)
183_l,included (10 articles)
183_m,included (10 articles)
183_n,included (10 articles)
183_o,included (10 articles)
183_p,included (10 articles)
183_q,included (10 articles)
183_r,included (10 articles)
183_s,included (10 articles)
183_t,included (10 articles)
183_u,included (10 articles)
183_v,included (10 articles)
183_w,included (10 articles)
184_a,included (10 articles)
184_b,included (10 articles)
184_c,included (10 articles)
184_d,included (10 articles)
187_a,included (10 articles)
187_b,included (5 articles)
187_c,included (10 articles)
187_d,included (10 articles)
187_e,included (10 articles)
187_f,included (10 articles)
187_g,included (10 articles)
187_h,included (5 articles)
187_i,included (5 articles)
187_j,included (10 articles)
187_k,included (10 articles)
187_l,included (10 articles)
187_m,included (10 articles)
187_n,included (5 articles)
187_o,included (5 articles)
187_p,included (5 articles)
187_q,included (5 articles)
187_r,included (5 articles)
187_s,included (5 articles)
187_t,included (5 articles)
187_u,included (10 articles)
187_v,included (5 articles)
191_a,included (10 articles)
191_b,included (10 articles)
191_c,included (10 articles)
191_d,included (10 articles)
194_a,included (10 articles)
194_b,included (10 articles)
194_c,included (5 articles)
194_d,included (10 articles)
197_a,included (10 articles)
197_b,included (10 articles)
197_c,included (10 articles)
197_d,included (10 articles)
197_e,included (10 articles)
197_f,included (10 articles)
197_g,included (10 articles)
197_h,included (10 articles)
197_i,included (10 articles)
197_j,included (10 articles)
198_a,included (10 articles)
198_b,included (10 articles)
198_c,included (10 articles)
198_d,included (10 articles)
198_e,included (10 articles)
198_f,included (10 articles)
198_g,included (10 articles)
198_h,included (10 articles)
198_i,included (10 articles)
198_j,included (10 articles)
198_k,included (10 articles)
198_l,included (10 articles)
198_m,included (10 articles)
198_n,included (10 articles)
198_o,included (10 articles)
198_p,included (10 articles)
198_q,included (10 articles)
198_r,included (10 articles)
198_s,included (10 articles)
198_t,included (10 articles)
198_u,included (10 articles)
198_v,included (10 articles)
198_w,included (10 articles)
198_x,included (10 articles)
198_y,included (10 articles)
198_z,included (10 articles)
198_aa,included (10 articles)
198_ab,included (10 articles)
198_ac,included (10 articles)
198_ad,included (10 articles)
198_ae,included (10 articles)
198_af,included (10 articles)
198_ag,included (10 articles)
198_ah,included (10 articles)
198_ai,included (10 articles)
198_aj,included (10 articles)
198_ak,included (10 articles)
198_al,included (10 articles)
198_am,included (10 articles)
198_an,included (10 articles)
198_ao,included (10 articles)
198_ap,included (10 articles)
198_aq,included (10 articles)
198_ar,included (10 articles)
198_as,included (10 articles)
200_a,included (10 articles)
200_b,included (10 articles)
200_c,included (10 articles)
200_d,included (10 articles)
200_e,included (10 articles)
200_f,included (10 articles)
200_g,included (10 articles)
200_h,included (10 articles)
200_i,included (10 articles)
200_j,included (10 articles)
200_k,included (10 articles)
200_l,included (10 articles)
201_a,included (10 articles)
201_b,included (10 articles)
201_c,included (10 articles)
201_d,included (10 articles)
201_e,included (10 articles)
201_f,included (10 articles)
201_g,included (10 articles)
201_h,included (10 articles)
201_i,included (10 articles)
201_j,included (10 articles)
201_k,included (10 articles)
201_l,included (10 articles)
201_m,included (10 articles)
201_n,included (10 articles)
201_o,included (10 articles)
201_p,included (10 articles)
201_q,included (10 articles)
201_r,included (10 articles)
201_s,included (10 articles)
201_t,included (10 articles)
201_u,included (10 articles)
201_v,included (10 articles)
201_w,included (10 articles)
201_x,included (10 articles)
201_y,included (10 articles)
201_z,included (10 articles)
201_aa,included (10 articles)
201_ab,included (10 articles)
201_ac,included (10 articles)
201_ad,included (10 articles)
201_ae,included (10 articles)
201_af,included (10 articles)
220_a,excluded (<5 articles)
220_b,included (10 articles)
220_c,included (10 articles)
220_g,excluded (<5 articles)
220_i,included (10 articles)
220_k,included (10 articles)
221_a,included (5 articles)
221_b,included (10 articles)
221_c,included (10 articles)
221_d,excluded (<5 articles)
241_a,included (10 articles)
241_b,included (10 articles)
241_c,included (10 articles)
241_d,included (10 articles)
241_e,included (10 articles)
250_a,included (10 articles)
250_b,included (10 articles)
250_c,included (10 articles)
250_d,included (10 articles)
250_e,included (10 articles)
250_f,included (10 articles)
250_g,included (10 articles)
250_h,included (10 articles)
257_a,included (10 articles)
257_b,included (10 articles)
257_c,excluded (<5 articles)
257_d,excluded (<5 articles)
257_e,excluded (<5 articles)
257_f,excluded (<5 articles)
257_g,excluded (<5 articles)
257_h,excluded (<5 articles)
257_i,excluded (<5 articles)
257_j,excluded (<5 articles)
257_k,excluded (<5 articles)
257_l,excluded (<5 articles)
257_m,excluded (<5 articles)
257_n,excluded (<5 articles)
257_o,included (5 articles)
257_p,included (5 articles)
257_q,included (5 articles)
257_r,included (5 articles)
257_s,included (5 articles)
257_t,included (5 articles)
257_u,included (10 articles)
257_v,included (10 articles)
257_w,included (10 articles)
257_x,included (10 articles)
257_y,included (10 articles)
257_z,included (10 articles)
258_a,included (10 articles)
258_b,included (10 articles)
258_c,included (10 articles)
258_d,included (10 articles)
258_e,included (10 articles)
258_f,included (10 articles)
258_g,included (10 articles)
258_h,included (10 articles)
258_i,included (10 articles)
258_j,included (10 articles)
258_k,excluded (<5 articles)
258_l,included (5 articles)
258_m,included (10 articles)
258_n,excluded (<5 articles)
258_o,included (10 articles)
258_p,included (10 articles)
258_q,included (10 articles)
258_r,included (10 articles)
258_s,included (10 articles)
258_t,included (10 articles)
258_u,included (10 articles)
258_v,included (10 articles)
258_w,included (10 articles)
258_x,excluded (<5 articles)
258_y,included (5 articles)
258_z,included (5 articles)
258_aa,excluded (<5 articles)
258_ab,excluded (<5 articles)
258_ac,included (10 articles)
258_ad,included (10 articles)
258_ae,included (10 articles)
258_af,included (10 articles)
258_ag,included (10 articles)
258_ah,included (10 articles)
258_ai,included (10 articles)
258_aj,included (10 articles)
258_ak,included (10 articles)
258_al,included (5 articles)
258_am,included (10 articles)
258_an,included (10 articles)
258_ao,included (10 articles)
258_ap,included (10 articles)
258_aq,included (10 articles)
258_ar,included (10 articles)
258_as,included (5 articles)
258_at,included (5 articles)
258_au,included (5 articles)
258_av,included (10 articles)
258_aw,included (5 articles)
258_ax,included (5 articles)
258_ay,included (10 articles)
266_a,included (10 articles)
266_b,included (10 articles)
266_c,included (10 articles)
266_d,included (10 articles)
266_e,included (10 articles)
266_f,included (10 articles)
266_g,included (10 articles)
266_h,included (10 articles)
266_i,included (10 articles)
266_j,included (10 articles)
266_k,included (10 articles)
266_l,included (10 articles)
266_m,included (10 articles)
266_n,included (10 articles)
266_o,excluded (<5 articles)
266_p,included (10 articles)
266_q,included (10 articles)
266_r,included (10 articles)
266_s,excluded (<5 articles)
266_t,included (10 articles)
266_u,not possible to estimate effect size
266_v,included (10 articles)
266_w,excluded (<5 articles)
266_x,excluded (<5 articles)
266_y,excluded (<5 articles)
266_z,excluded (<5 articles)
266_aa,included (10 articles)
266_ab,included (10 articles)
267_c,included (10 articles)
267_d,included (10 articles)
268_b,included (10 articles)
268_d,included (10 articles)
268_f,included (10 articles)
268_h,excluded (<5 articles)
268_i,included (10 articles)
268_j,included (5 articles)
268_k,included (5 articles)
268_l,included (5 articles)
270_a,included (10 articles)
270_b,included (10 articles)
270_c,no diversity contrast
270_d,included (10 articles)
270_e,not possible to estimate effect size
270_f,included (10 articles)
270_g,included (10 articles)
270_h,no diversity contrast
270_i,included (10 articles)
270_j,included (5 articles)
270_k,included (5 articles)
270_l,no diversity contrast
270_m,included (5 articles)
